loc,vg,evg,ivg,n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,lOCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
141.0,24.0,9.0,18.0,657.0,4553.49,0.02,51.91,87.72,236376.96,1.52,13132.05,141.0,50.0,0.0,56.0,32.0,90.0,365.0,292.0,36.0,1
6.0,1.0,1.0,1.0,30.0,139.32,0.15,6.5,21.43,905.55,0.05,50.31,6.0,1.0,0.0,7.0,13.0,12.0,18.0,12.0,1.0,1
93.0,17.0,4.0,12.0,409.0,2680.83,0.03,38.18,70.21,102358.84,0.89,5686.6,93.0,27.0,0.0,31.0,28.0,66.0,229.0,180.0,24.0,1
6.0,1.0,1.0,1.0,30.0,139.32,0.15,6.5,21.43,905.55,0.05,50.31,6.0,1.0,0.0,7.0,13.0,12.0,18.0,12.0,1.0,1
31.0,7.0,4.0,4.0,108.0,603.18,0.07,14.1,42.78,8504.78,0.2,472.49,28.0,1.0,3.0,9.0,18.0,30.0,61.0,47.0,13.0,1
153.0,25.0,6.0,13.0,841.0,5942.58,0.02,61.92,95.98,367939.9,1.98,20441.11,153.0,55.0,0.0,55.0,33.0,101.0,462.0,379.0,40.0,1
63.0,17.0,9.0,7.0,429.0,2843.99,0.03,32.0,88.87,91007.81,0.95,5055.99,57.0,6.0,6.0,5.0,24.0,75.0,229.0,200.0,33.0,1
106.0,29.0,20.0,5.0,539.0,3676.08,0.03,39.86,92.23,146524.08,1.23,8140.23,106.0,39.0,0.0,32.0,28.0,85.0,297.0,242.0,57.0,1
23.0,5.0,4.0,3.0,113.0,650.3,0.05,20.26,32.1,13174.23,0.22,731.9,21.0,8.0,2.0,9.0,25.0,29.0,66.0,47.0,9.0,1
29.0,5.0,5.0,5.0,164.0,920.81,0.05,20.61,44.67,18980.62,0.31,1054.48,29.0,9.0,0.0,7.0,18.0,31.0,93.0,71.0,9.0,1
84.0,9.0,1.0,3.0,876.0,6498.04,0.02,46.39,140.08,301439.38,2.17,16746.63,84.0,20.0,0.0,27.0,31.0,140.0,457.0,419.0,17.0,1
17.0,1.0,1.0,1.0,102.0,550.02,0.07,13.54,40.63,7446.38,0.18,413.69,16.0,9.0,1.0,12.0,16.0,26.0,58.0,44.0,1.0,1
6.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,6.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0,1
15.0,4.0,3.0,2.0,86.0,457.69,0.07,14.73,31.08,6740.46,0.15,374.47,14.0,5.0,1.0,7.0,18.0,22.0,50.0,36.0,7.0,1
29.0,5.0,5.0,5.0,146.0,815.4,0.05,18.6,43.84,15166.52,0.27,842.58,29.0,7.0,0.0,5.0,18.0,30.0,84.0,62.0,9.0,1
5.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,5.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0,1
15.0,3.0,1.0,3.0,53.0,249.12,0.13,7.7,32.35,1918.25,0.08,106.57,15.0,0.0,0.0,9.0,11.0,15.0,32.0,21.0,5.0,1
5.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,5.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0,1
6.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,6.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0,1
23.0,4.0,1.0,4.0,101.0,548.05,0.08,11.79,46.5,6459.19,0.18,358.84,23.0,0.0,0.0,12.0,15.0,28.0,57.0,44.0,7.0,1
5.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,5.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0,1
5.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,5.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0,1
43.0,9.0,7.0,7.0,186.0,1084.92,0.07,13.35,81.27,14482.39,0.36,804.58,43.0,1.0,0.0,16.0,14.0,43.0,104.0,82.0,17.0,1
14.0,4.0,1.0,2.0,69.0,353.92,0.09,10.88,32.54,3848.89,0.12,213.83,12.0,7.0,2.0,4.0,15.0,20.0,40.0,29.0,7.0,1
16.0,5.0,1.0,2.0,90.0,482.18,0.08,12.16,39.65,5863.3,0.16,325.74,13.0,4.0,3.0,3.0,16.0,25.0,52.0,38.0,9.0,1
3.0,1.0,1.0,1.0,18.0,68.53,0.22,4.5,15.23,308.4,0.02,17.13,3.0,0.0,0.0,2.0,9.0,5.0,13.0,5.0,1.0,1
24.0,4.0,1.0,1.0,116.0,585.15,0.06,16.0,36.57,9362.4,0.2,520.13,19.0,6.0,5.0,7.0,12.0,21.0,60.0,56.0,7.0,1
17.0,4.0,1.0,1.0,79.0,391.38,0.08,12.28,31.88,4805.3,0.13,266.96,15.0,6.0,2.0,8.0,13.0,18.0,45.0,34.0,7.0,1
6.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,6.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0,1
27.0,7.0,1.0,4.0,94.0,506.88,0.05,21.45,23.63,10872.53,0.17,604.03,27.0,4.0,0.0,20.0,22.0,20.0,55.0,39.0,12.0,1
6.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,6.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,1.0,1
10.0,1.0,1.0,1.0,25.0,97.67,0.27,3.67,26.64,358.13,0.03,19.9,8.0,2.0,2.0,6.0,6.0,9.0,14.0,11.0,1.0,0
29.0,6.0,1.0,3.0,79.0,398.51,0.08,12.92,30.85,5147.38,0.13,285.97,29.0,2.0,0.0,21.0,15.0,18.0,48.0,31.0,8.0,0
8.0,2.0,1.0,1.0,11.0,33.0,0.22,4.5,7.33,148.5,0.01,8.25,6.0,3.0,2.0,2.0,6.0,2.0,8.0,3.0,3.0,0
108.0,22.0,5.0,17.0,464.0,3215.86,0.03,33.04,97.32,106264.81,1.07,5903.6,107.0,35.0,1.0,43.0,31.0,91.0,270.0,194.0,39.0,0
14.0,7.0,1.0,2.0,82.0,430.33,0.07,14.55,29.59,6259.35,0.14,347.74,14.0,0.0,0.0,1.0,16.0,22.0,42.0,40.0,13.0,0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0
13.0,4.0,1.0,3.0,42.0,181.52,0.08,12.75,14.24,2314.39,0.06,128.58,13.0,0.0,0.0,2.0,12.0,8.0,25.0,17.0,7.0,0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0
56.0,1.0,1.0,1.0,327.0,2078.92,0.02,44.27,46.96,92035.5,0.69,5113.08,49.0,1.0,7.0,2.0,34.0,48.0,202.0,125.0,29.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
7.0,1.0,1.0,1.0,31.0,129.27,0.24,4.14,31.25,534.7,0.04,29.71,7.0,9.0,0.0,5.0,7.0,11.0,18.0,13.0,1.0,0
9.0,2.0,1.0,1.0,30.0,120.0,0.24,4.2,28.57,504.0,0.04,28.0,9.0,2.0,0.0,2.0,6.0,10.0,16.0,14.0,3.0,0
10.0,1.0,1.0,1.0,35.0,153.73,0.17,5.91,26.02,908.41,0.05,50.47,10.0,15.0,0.0,11.0,10.0,11.0,22.0,13.0,1.0,0
7.0,1.0,1.0,1.0,31.0,129.27,0.24,4.14,31.25,534.7,0.04,29.71,7.0,9.0,0.0,5.0,7.0,11.0,18.0,13.0,1.0,0
9.0,2.0,1.0,1.0,30.0,120.0,0.24,4.2,28.57,504.0,0.04,28.0,9.0,2.0,0.0,2.0,6.0,10.0,16.0,14.0,3.0,0
14.0,1.0,1.0,1.0,68.0,343.02,0.13,7.43,46.18,2548.14,0.11,141.56,14.0,19.0,0.0,18.0,12.0,21.0,42.0,26.0,1.0,0
11.0,3.0,1.0,1.0,57.0,264.7,0.11,9.33,28.36,2470.53,0.09,137.25,11.0,2.0,0.0,7.0,10.0,15.0,29.0,28.0,5.0,0
19.0,5.0,1.0,5.0,66.0,320.63,0.09,11.67,27.48,3740.65,0.11,207.81,17.0,5.0,2.0,14.0,14.0,15.0,41.0,25.0,9.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
14.0,2.0,1.0,2.0,61.0,293.25,0.13,7.78,37.7,2280.82,0.1,126.71,14.0,8.0,0.0,9.0,10.0,18.0,33.0,28.0,3.0,0
4.0,1.0,1.0,1.0,11.0,34.87,0.4,2.5,13.95,87.17,0.01,4.84,4.0,2.0,0.0,1.0,5.0,4.0,7.0,4.0,1.0,0
4.0,1.0,1.0,1.0,11.0,34.87,0.4,2.5,13.95,87.17,0.01,4.84,4.0,3.0,0.0,3.0,5.0,4.0,7.0,4.0,1.0,0
11.0,1.0,1.0,1.0,38.0,152.0,0.14,7.0,21.71,1064.0,0.05,59.11,10.0,6.0,1.0,5.0,8.0,8.0,24.0,14.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
6.0,2.0,1.0,2.0,20.0,76.15,0.15,6.67,11.42,507.65,0.03,28.2,6.0,0.0,0.0,0.0,8.0,6.0,10.0,10.0,3.0,0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0
6.0,1.0,1.0,1.0,15.0,45.0,0.56,1.8,25.0,81.0,0.02,4.5,6.0,0.0,0.0,1.0,3.0,5.0,9.0,6.0,1.0,0
14.0,2.0,1.0,2.0,50.0,232.19,0.11,9.21,25.22,2138.11,0.08,118.78,14.0,0.0,0.0,5.0,13.0,12.0,33.0,17.0,3.0,0
17.0,6.0,1.0,3.0,71.0,316.62,0.05,21.67,14.61,6860.09,0.11,381.12,17.0,0.0,0.0,1.0,13.0,9.0,41.0,30.0,11.0,0
36.0,7.0,5.0,7.0,154.0,882.1,0.06,15.94,55.33,14063.19,0.29,781.29,35.0,9.0,1.0,23.0,18.0,35.0,92.0,62.0,13.0,0
49.0,10.0,7.0,7.0,168.0,1022.69,0.05,21.36,47.89,21841.82,0.34,1213.43,43.0,11.0,6.0,30.0,26.0,42.0,99.0,69.0,18.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
40.0,9.0,5.0,7.0,165.0,974.64,0.04,23.21,41.98,22625.5,0.32,1256.97,36.0,2.0,4.0,16.0,25.0,35.0,100.0,65.0,15.0,0
7.0,2.0,1.0,1.0,10.0,28.07,0.5,2.0,14.04,56.15,0.01,3.12,7.0,0.0,0.0,5.0,4.0,3.0,7.0,3.0,3.0,0
76.0,14.0,5.0,8.0,227.0,1426.79,0.04,25.15,56.74,35879.48,0.48,1993.3,67.0,17.0,9.0,18.0,27.0,51.0,132.0,95.0,25.0,0
19.0,2.0,1.0,2.0,90.0,478.97,0.08,12.67,37.81,6067.0,0.16,337.06,18.0,3.0,1.0,16.0,16.0,24.0,52.0,38.0,3.0,0
15.0,3.0,1.0,3.0,48.0,228.23,0.16,6.18,36.95,1409.68,0.08,78.32,15.0,15.0,0.0,7.0,10.0,17.0,27.0,21.0,5.0,0
10.0,3.0,1.0,1.0,31.0,142.13,0.09,10.83,13.12,1539.78,0.05,85.54,10.0,0.0,0.0,2.0,15.0,9.0,18.0,13.0,5.0,0
10.0,1.0,1.0,1.0,37.0,167.37,0.14,7.09,23.6,1186.82,0.06,65.93,10.0,19.0,0.0,11.0,12.0,11.0,24.0,13.0,1.0,0
15.0,3.0,1.0,3.0,48.0,228.23,0.16,6.18,36.95,1409.68,0.08,78.32,15.0,15.0,0.0,7.0,10.0,17.0,27.0,21.0,5.0,0
10.0,3.0,1.0,1.0,31.0,142.13,0.09,10.83,13.12,1539.78,0.05,85.54,10.0,0.0,0.0,2.0,15.0,9.0,18.0,13.0,5.0,0
9.0,1.0,1.0,1.0,31.0,131.69,0.16,6.11,21.55,804.75,0.04,44.71,9.0,15.0,0.0,15.0,10.0,9.0,20.0,11.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
57.0,9.0,1.0,9.0,211.0,1330.1,0.04,22.33,59.57,29696.99,0.44,1649.83,57.0,19.0,0.0,25.0,27.0,52.0,125.0,86.0,13.0,0
36.0,9.0,5.0,5.0,112.0,618.64,0.08,12.0,51.55,7423.67,0.21,412.43,28.0,6.0,8.0,14.0,16.0,30.0,67.0,45.0,17.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
9.0,1.0,1.0,1.0,24.0,93.77,0.17,6.0,15.63,562.59,0.03,31.26,9.0,0.0,0.0,1.0,9.0,6.0,16.0,8.0,1.0,0
8.0,1.0,1.0,1.0,14.0,42.0,0.3,3.33,12.6,140.0,0.01,7.78,7.0,4.0,1.0,4.0,5.0,3.0,10.0,4.0,1.0,0
14.0,2.0,1.0,2.0,35.0,148.68,0.21,4.73,31.45,702.84,0.05,39.05,14.0,4.0,0.0,7.0,8.0,11.0,22.0,13.0,3.0,0
4.0,1.0,1.0,1.0,15.0,53.77,0.29,3.5,15.36,188.21,0.02,10.46,4.0,0.0,0.0,0.0,6.0,6.0,8.0,7.0,1.0,0
36.0,10.0,1.0,6.0,151.0,856.54,0.07,14.58,58.73,12491.15,0.29,693.95,36.0,0.0,0.0,3.0,15.0,36.0,81.0,70.0,19.0,0
3.0,1.0,1.0,1.0,11.0,34.87,0.5,2.0,17.43,69.74,0.01,3.87,3.0,0.0,0.0,1.0,4.0,5.0,6.0,5.0,1.0,0
10.0,2.0,1.0,2.0,29.0,120.93,0.15,6.5,18.6,786.03,0.04,43.67,10.0,0.0,0.0,0.0,9.0,9.0,16.0,13.0,3.0,0
8.0,2.0,1.0,2.0,41.0,192.72,0.1,9.92,19.43,1911.12,0.06,106.17,8.0,0.0,0.0,0.0,14.0,12.0,24.0,17.0,3.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
51.0,14.0,9.0,11.0,245.0,1496.59,0.05,21.88,68.42,32737.87,0.5,1818.77,51.0,10.0,0.0,28.0,21.0,48.0,145.0,100.0,27.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0
7.0,1.0,1.0,1.0,28.0,114.45,0.24,4.2,27.25,480.69,0.04,26.7,7.0,9.0,0.0,6.0,7.0,10.0,16.0,12.0,1.0,0
18.0,5.0,1.0,5.0,87.0,387.97,0.05,19.0,20.42,7371.44,0.13,409.52,18.0,5.0,0.0,7.0,11.0,11.0,49.0,38.0,6.0,0
9.0,1.0,1.0,1.0,31.0,131.69,0.16,6.11,21.55,804.75,0.04,44.71,9.0,16.0,0.0,10.0,10.0,9.0,20.0,11.0,1.0,0
7.0,1.0,1.0,1.0,28.0,114.45,0.24,4.2,27.25,480.69,0.04,26.7,7.0,9.0,0.0,6.0,7.0,10.0,16.0,12.0,1.0,0
3.0,1.0,1.0,1.0,12.0,41.51,0.29,3.5,11.86,145.3,0.01,8.07,3.0,0.0,0.0,1.0,7.0,4.0,8.0,4.0,1.0,0
10.0,1.0,1.0,1.0,37.0,167.37,0.14,7.09,23.6,1186.82,0.06,65.93,10.0,19.0,0.0,11.0,12.0,11.0,24.0,13.0,1.0,0
35.0,7.0,5.0,7.0,148.0,843.67,0.06,15.62,54.02,13176.06,0.28,732.0,34.0,5.0,1.0,22.0,18.0,34.0,89.0,59.0,13.0,0
23.0,6.0,5.0,4.0,85.0,446.07,0.1,9.92,44.98,4423.57,0.15,245.75,22.0,5.0,1.0,13.0,14.0,24.0,51.0,34.0,11.0,0
